,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
35,2-s2.0-85089695522,10.1016/j.ijpe.2020.107886,S0925527320302498,,Exploring supply chain structural dynamics: New disruptive technologies and disruption risks,ed,Editorial,Dolgui A.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-11-01,November 2020,International Journal of Production Economics,09255273,19165,,Journal,229,,107886,,,,23,1,repositoryvor,Green,,,
36,2-s2.0-85089255277,10.1002/qre.2705,,,Performance of the MEWMA-CoDa control chart in the presence of measurement errors,ar,Article,Zaidi F.S.,,Université de Nantes,Nantes,France,,,,,2020-11-01,1 November 2020,Quality and Reliability Engineering International,07488017,19123,10991638,Journal,36,7,,2411-2440,,,11,0,,,,,
37,2-s2.0-85087787912,10.1002/oca.2647,,,Stable impulsive zone model predictive control for type 1 diabetic patients based on a long-term model,ar,Article,González A.H.,,Universidad Nacional del Litoral,Santa Fe,Argentina,,,,,2020-11-01,1 November 2020,Optimal Control Applications and Methods,01432087,25529,10991514,Journal,41,6,,2115-2136,,,11,0,repositoryam,Green,,,
38,2-s2.0-85086377097,10.1016/j.sysarc.2020.101800,S138376212030093X,,Efficient mapping of runnables to tasks for embedded AUTOSAR applications,ar,Article,Khenfri F.,,ESTACA Engineering School,Paris,France,,,,,2020-11-01,November 2020,Journal of Systems Architecture,13837621,12398,,Journal,110,,101800,,,,1,0,,,,,
39,2-s2.0-85096445225,10.1088/1757-899X/922/1/012002,,,Invariance and Controlled Invariance in Switching Structured Systems with Application to Disturbance Decoupling,cp,Conference Paper,Conte G.,,Università Politecnica delle Marche,Ancona,Italy,,,,,2020-10-28,28 October 2020,IOP Conference Series: Materials Science and Engineering,17578981,19700200831,1757899X,Conference Proceeding,922,1,012002,,,,0,1,repositoryam,Green,,,
40,2-s2.0-85096673322,10.1145/3395035.3425205,,,Assessment of situation awareness during robotic surgery using multimodal data,cp,Conference Paper,Lechappe A.,,Laboratoire des Sciences du Numérique de Nantes;IMT Atlantique;Université de Brest (UBO),Nantes;Nantes;Brest,France;France;France,,,,,2020-10-25,25 October 2020,ICMI 2020 Companion - Companion Publication of the 2020 International Conference on Multimodal Interaction,,21101033805,,Conference Proceeding,,,,412-416,,,5,0,repositoryvor,Green,,,
41,2-s2.0-85102408039,10.1109/IROS45743.2020.9341680,,,Dense Decentralized Multi-robot SLAM based on locally consistent TSDF submaps,cp,Conference Paper,Dubois R.,,Laboratoire des Sciences du Numérique de Nantes;Universite Paris-Saclay,Nantes;Saint-Aubin,France;France,,,,,2020-10-24,24 October 2020,IEEE International Conference on Intelligent Robots and Systems,21530858,66854,21530866,Conference Proceeding,,,9341680,4862-4869,,,2,0,repositoryam,Green,,,
42,2-s2.0-85100585851,10.1145/3434780.3436688,,,Promoting Open Education through Gamification in Higher Education: The OpenGame project,cp,Conference Paper,García-Holgado A.,,Universidad de Salamanca,Salamanca,Spain,,,,,2020-10-21,21 October 2020,ACM International Conference Proceeding Series,,11600154611,,Conference Proceeding,,,3436687,399-404,,,1,0,,,,,
43,2-s2.0-85096987263,10.1145/3419804.3421447,,,A formalism for specifying model merging conflicts,cp,Conference Paper,Sharbaf M.,,Université de Nantes;University of Isfahan,Nantes;Isfahan,France;Iran,,,,,2020-10-19,19 October 2020,"Proceedings of the 12th System Analysis and Modelling Conference, SAM 2020",,21101029478,,Conference Proceeding,,,,1-11,,,0,0,repositoryvor,Green,,,
44,2-s2.0-85095866439,10.1145/3340531.3412116,,,Rethinking Operators Placement of Stream Data Application in the Edge,cp,Conference Paper,Lambert T.,,IMT Atlantique,Nantes,France,,,,,2020-10-19,19 October 2020,"International Conference on Information and Knowledge Management, Proceedings",,21101027248,,Conference Proceeding,,,,2101-2104,,,2,0,repositoryam,Green,,,
45,2-s2.0-85097783361,10.1109/IECON43393.2020.9255251,,,Cascade GW Controllers for Speed Ripple Minimization at Low Speed Operation of PMSM Drives for EV,cp,Conference Paper,Djeriou A.,,Université Mohamed Boudiaf - M'sila,M'sila,Algeria,,,,,2020-10-18,18 October 2020,IECON Proceedings (Industrial Electronics Conference),,56670,,Conference Proceeding,2020-October,,9255251,4667-4672,,,0,0,,,,,
46,2-s2.0-85096809407,10.1145/3417990.3420204,,,Challenges &amp; opportunities in low-code testing,cp,Conference Paper,Khorram F.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-10-16,16 October 2020,"Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2020 - Companion Proceedings",,21101028544,,Conference Proceeding,,,,490-499,,,7,0,repositoryvor,Green,,,
47,2-s2.0-85096808259,10.1145/3417990.3420206,,,Towards transparent combination of model management execution strategies for low-code development platforms,cp,Conference Paper,Philippe J.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-10-16,16 October 2020,"Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2020 - Companion Proceedings",,21101028544,,Conference Proceeding,,,,507-516,,,4,0,repositoryvor,Green,,,
48,2-s2.0-85096756100,10.1145/3417990.3421438,,,Towards a digital twin for cyber-physical production systems: A multi-paradigm modeling approach in the postal industry,cp,Conference Paper,Niati A.,,École nationale supérieure d'Informatique,Algiers,Algeria,,,,,2020-10-16,16 October 2020,"Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2020 - Companion Proceedings",,21101028544,,Conference Proceeding,,,,651-657,,,1,0,repositoryvor,Green,,,
49,2-s2.0-85096746061,10.1145/3417990.3422005,,,CyprIoT project: An open source toolset to model and generate a network of things,cp,Conference Paper,Berrouyne I.,,Université du Québec à Chicoutimi;CNRS Centre National de la Recherche Scientifique,Chicoutimi-Jonquiere;Paris,Canada;France,,,,,2020-10-16,16 October 2020,"Proceedings - 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2020 - Companion Proceedings",,21101028544,,Conference Proceeding,,,,36-40,,,0,0,,,,,
50,2-s2.0-85096113250,10.1145/3423328.3423496,,,Towards Better Quality Assessment of High-Quality Videos,cp,Conference Paper,Ling S.,,CAPACITES SAS,Nantes,France,,,,,2020-10-16,16 October 2020,QoEVMA 2020 - Proceedings of the 1st Workshop on Quality of Experience (QoE) in Visual Multimedia Applications,,21101027513,,Conference Proceeding,,,,3-9,,,0,0,,,,,
51,2-s2.0-85096112545,10.1145/3423328.3423501,,,A Subjective Study of Multi-Dimensional Aesthetic Assessment for Mobile Game Image,cp,Conference Paper,Ling S.,,CAPACITES SAS,Nantes,France,,,,,2020-10-16,16 October 2020,QoEVMA 2020 - Proceedings of the 1st Workshop on Quality of Experience (QoE) in Visual Multimedia Applications,,21101027513,,Conference Proceeding,,,,47-53,,,2,0,,,,,
52,2-s2.0-85096092286,10.1145/3423328.3423498,,,Perceptual Characterization of 3D Graphical Contents based on Attention Complexity Measures,cp,Conference Paper,Abid M.,,Université de Nantes,Nantes,France,,,,,2020-10-16,16 October 2020,QoEVMA 2020 - Proceedings of the 1st Workshop on Quality of Experience (QoE) in Visual Multimedia Applications,,21101027513,,Conference Proceeding,,,,31-36,,,1,0,repositoryvor,Green,,,
53,2-s2.0-85097832241,10.1109/ICNP49622.2020.9259390,,,A Semi-supervised Stacked Autoencoder Approach for Network Traffic Classification,cp,Conference Paper,Aouedi O.,,Université de Nantes,Nantes,France,,,,,2020-10-13,13 October 2020,"Proceedings - International Conference on Network Protocols, ICNP",10921648,145223,,Conference Proceeding,2020-October,,9259390,,,,4,0,repositoryvor,Green,,,
54,2-s2.0-85106941309,10.1145/3394171.3413619,,,A Probabilistic Graphical Model for Analyzing the Subjective Visual Quality Assessment Data from Crowdsourcing,cp,Conference Paper,Li J.,,Alibaba Group Holding Limited,Yu Hang,China,,,,,2020-10-12,12 October 2020,MM 2020 - Proceedings of the 28th ACM International Conference on Multimedia,,21101047052,,Conference Proceeding,,,,3339-3347,,,2,0,,,,,
55,2-s2.0-85098879556,10.1109/SMC42975.2020.9283101,,,Towards a Driver Model to Clarify Cooperation between Drivers and Haptic Guidance Systems,cp,Conference Paper,Zhao Y.,,IMT Atlantique,Nantes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283101,1731-1737,,,1,0,repositoryam,Green,,,
56,2-s2.0-85098859046,10.1109/SMC42975.2020.9283441,,,"Systematic H<inf>2</inf>/H<inf>∞</inf> haptic shared control synthesis for cars, parameterized by sharing level",cp,Conference Paper,Pano B.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283441,4416-4423,,,1,0,repositoryam,Green,,,
57,2-s2.0-85098843839,10.1109/SMC42975.2020.9283382,,,Driver Model Validation through Interaction with Varying Levels of Haptic Guidance,cp,Conference Paper,Zhao Y.,,IMT Atlantique,Nantes,France,,,,,2020-10-11,11 October 2020,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",1062922X,145097,,Conference Proceeding,2020-October,,9283382,2284-2290,,,1,0,repositoryam,Green,,,
58,2-s2.0-85097981289,10.1109/ICSTCC50638.2020.9259692,,,Descriptor Recurrent Neural Network Model and ℒ<inf>2</inf>- Gain Control Design for Systems with Dry Friction,cp,Conference Paper,Yagoubi M.,,Laboratoire des Sciences du Numérique de Nantes,Nantes,France,,,,,2020-10-08,8 October 2020,"2020 24th International Conference on System Theory, Control and Computing, ICSTCC 2020 - Proceedings",,21101032301,,Conference Proceeding,,,9259692,19-24,,,0,0,,,,,
59,2-s2.0-85097977076,10.1109/ICSTCC50638.2020.9259718,,,Analysis of Stability Margins in a Class of Discrete Nonlinear Time - Invariant Systems via Tsypkin Criterion and Describing Function technique,cp,Conference Paper,Das S.S.,,The University of Alabama in Huntsville,Huntsville,United States,,,,,2020-10-08,8 October 2020,"2020 24th International Conference on System Theory, Control and Computing, ICSTCC 2020 - Proceedings",,21101032301,,Conference Proceeding,,,9259718,412-418,,,1,0,,,,,
60,2-s2.0-85097974865,10.1109/ICSTCC50638.2020.9259647,,,Output Feedback H<inf>∞</inf>Control Design for Polynomial T-S Systems: A Novel SOS Approach,cp,Conference Paper,Chaibi R.,,Université Sidi Mohamed Ben Abdellah,Fez,Morocco,,,,,2020-10-08,8 October 2020,"2020 24th International Conference on System Theory, Control and Computing, ICSTCC 2020 - Proceedings",,21101032301,,Conference Proceeding,,,9259647,298-303,,,0,0,repositoryvor,Green,,,
61,2-s2.0-85059525204,10.1080/00207179.2018.1562223,,,ℋ<inf>∞</inf> control under asymptotic tracking constraint and nonproper output weights,ar,Article,Feng Y.,,Zhejiang University of Technology,Hangzhou,China,,,,,2020-10-02,2 October 2020,International Journal of Control,00207179,12342,13665820,Journal,93,10,,2418-2430,,,0,0,repositoryam,Green,,,
62,2-s2.0-85107438555,10.1115/1.4047726,,,Design of an accurate and stiff wooden industrial robot: First steps toward robot Eco-sustainable Mechanical Design,ar,Article,Briot S.,,CNRS Centre National de la Recherche Scientifique,Paris,France,,,,,2020-10-01,October 2020,Journal of Mechanisms and Robotics,19424302,19700186816,19424310,Journal,12,5,051015,,,,0,0,repositoryam,Green,,,
63,2-s2.0-85098618981,10.1109/ICIP40778.2020.9191064,,,Towards Visual Saliency Computation on 3D Graphical Contents for Interactive Visualization,cp,Conference Paper,Abid M.,,Université de Nantes,Nantes,France,,,,,2020-10-01,October 2020,"Proceedings - International Conference on Image Processing, ICIP",15224880,144684,,Conference Proceeding,2020-October,,9191064,3448-3452,,,1,0,repositoryam,Green,,,
64,2-s2.0-85098242822,10.1109/TRO.2020.3000285,,,A purely model-based approach to object pose and size estimation with electric sense,ar,Article,Bazeille S.,,Universite de Haute Alsace,Mulhouse,France,,,,,2020-10-01,October 2020,IEEE Transactions on Robotics,15523098,95101,19410468,Journal,36,5,9123579,1611-1618,,,3,0,repositoryam,Green,,,
65,2-s2.0-85092427699,10.3390/en13195013,,,Grey wolf optimizer-based predictive torque control for electric buses applications,ar,Article,Djerioui A.,,Institut de Recherche en Energie Electrique de Nantes Atlantique;Université Mohamed Boudiaf - M'sila,Saint-Nazaire;M'sila,France;Algeria,,,,,2020-10-01,October 2020,Energies,,62932,19961073,Journal,13,19,5013,,,,0,1,repositoryam,Green,,,
